attempt_id,account_id,recovery_channel,device_risk_score,ip_risk_score,is_new_device,is_new_ip,geo_mismatch_flag,time_since_last_login_days,time_since_account_creation_days,failed_recovery_attempts_7d,hour_of_day,is_unusual_hour,onboarding_to_recovery_speed_flag,is_fraud
AT-002260,131927,sms_otp,0.3018,0.1344,0,0,0,25.1,52.79,0,11,0,0,0
AT-002293,156594,agent_assisted,0.6555,0.2228,0,0,0,3.49,46.47,0,11,0,0,0
AT-002560,449604,sms_otp,0.6927,0.2446,1,0,1,365.0,11.86,2,5,1,0,1
AT-001100,821655,security_questions,0.1624,0.2438,0,0,0,13.78,30.84,0,20,0,0,0
AT-002305,590306,email_link,0.159,0.0985,0,1,0,12.44,124.29,0,23,1,0,0
AT-003448,602822,email_link,0.3586,0.1378,1,0,0,0.67,549.83,0,8,0,0,0
AT-002726,274216,security_questions,0.0939,0.0616,0,0,0,4.27,1904.82,0,18,0,0,0
AT-003086,763174,email_link,0.8002,0.3072,0,0,0,6.82,71.99,0,15,0,0,0
AT-000818,714053,email_link,0.1782,0.2811,1,0,0,1.97,218.24,0,10,0,0,0
AT-001556,827131,agent_assisted,0.1184,0.0266,0,0,0,2.59,26.46,1,11,0,0,0
AT-000126,879126,security_questions,0.2549,0.1263,0,0,0,1.82,474.15,0,13,0,0,0
AT-001926,624918,email_link,0.9782,0.4551,1,0,1,4.94,16.97,4,17,0,0,1
AT-000206,190844,email_link,0.3803,0.1739,0,0,0,51.13,282.0,0,8,0,0,0
AT-002126,530798,security_questions,0.0728,0.4589,0,0,0,7.47,97.59,0,22,0,0,0
AT-003123,517597,email_link,0.8582,0.297,0,1,0,31.8,1.1,2,14,0,0,1
AT-000563,320868,sms_otp,0.3528,0.122,0,0,0,4.23,393.09,1,17,0,0,0
AT-001355,409243,security_questions,0.1321,0.0243,0,0,0,196.88,143.58,0,16,0,0,0
AT-000461,189958,sms_otp,0.0774,0.0619,0,0,1,2.65,157.04,1,15,0,0,0
AT-002448,515250,security_questions,0.1637,0.3481,0,0,0,15.22,647.68,0,6,0,0,0
AT-001365,490984,security_questions,0.046,0.0777,0,0,0,10.16,32.99,0,14,0,0,0
AT-000443,676312,agent_assisted,0.092,0.0637,0,0,0,14.26,1014.81,2,7,0,0,0
AT-003172,675724,security_questions,0.1749,0.0869,0,0,0,13.14,46.31,0,12,0,0,0
AT-002005,636605,email_link,0.5096,0.1056,1,0,0,45.12,821.94,0,19,0,0,0
AT-002446,283567,sms_otp,0.0349,0.0734,0,0,0,3.14,640.89,0,16,0,0,0
AT-000400,146372,security_questions,0.032,0.1726,0,0,0,3.33,54.14,0,13,0,0,0
AT-001751,351085,email_link,0.4315,0.4012,1,0,0,8.38,595.36,0,16,0,0,0
AT-001189,221525,email_link,0.2769,0.1823,0,0,0,22.18,111.68,0,9,0,0,0
AT-002768,530692,agent_assisted,0.0596,0.261,0,0,0,14.02,71.82,0,1,1,0,0
AT-000689,403698,email_link,0.2064,0.181,0,0,1,7.36,129.54,0,17,0,0,0
AT-000346,113433,sms_otp,0.2586,0.1582,1,0,0,21.73,183.6,0,11,0,0,0
AT-001538,377350,sms_otp,0.0868,0.2251,0,0,0,200.05,373.81,0,3,1,0,0
AT-000953,986795,sms_otp,0.103,0.0866,1,0,0,9.58,156.61,0,7,0,0,0
AT-001412,270535,agent_assisted,0.7177,0.0927,0,0,0,23.44,438.82,1,11,0,0,0
AT-002030,292513,email_link,0.1064,0.1099,0,0,0,4.61,636.69,0,4,1,0,0
AT-000286,468021,security_questions,0.727,0.2783,0,0,0,1.0,58.84,1,7,0,0,0
AT-000678,481121,email_link,0.1917,0.1048,0,0,0,6.61,261.52,0,12,0,0,0
AT-001622,483423,sms_otp,0.6785,0.019,0,0,1,1.54,144.35,0,9,0,0,0
AT-001693,881514,email_link,0.3863,0.1741,1,0,0,1.57,235.01,0,17,0,0,0
AT-000686,869341,security_questions,0.014,0.2355,0,0,0,0.45,497.49,0,11,0,0,0
AT-002825,799530,sms_otp,0.1585,0.3228,0,0,0,2.97,146.05,0,9,0,0,0
AT-001897,910988,email_link,0.1037,0.0416,0,0,0,15.6,331.39,0,17,0,0,0
AT-001984,921046,email_link,0.1808,0.4363,0,0,0,29.45,122.11,0,18,0,0,0
AT-001375,780675,sms_otp,0.4711,0.0348,0,1,0,0.96,217.1,0,3,1,0,0
AT-001659,155307,sms_otp,0.3379,0.2139,0,0,0,3.16,267.23,0,10,0,0,0
AT-001840,412648,email_link,0.4449,0.401,0,0,0,7.68,300.3,1,7,0,0,0
AT-000353,843559,email_link,0.0382,0.054,0,0,1,1.95,265.74,0,2,1,0,0
AT-002499,606142,email_link,0.0133,0.6416,0,1,0,6.07,403.44,0,14,0,0,0
AT-001822,957138,email_link,0.2352,0.0222,0,0,0,26.36,149.6,0,13,0,0,0
AT-002225,720097,email_link,0.1362,0.2168,0,0,0,17.9,286.66,1,3,1,0,0
AT-003137,359152,sms_otp,0.469,0.0372,0,0,0,0.53,310.22,0,19,0,0,0
AT-000991,208439,sms_otp,0.4484,0.1351,0,1,0,0.8,265.06,0,16,0,0,0
AT-000596,646695,email_link,0.1685,0.7082,0,0,0,0.59,343.91,0,14,0,0,0
AT-000943,775395,sms_otp,0.0765,0.1508,1,0,1,6.17,427.66,1,8,0,0,0
AT-003133,618008,email_link,0.4895,0.1739,0,0,0,4.57,701.28,0,19,0,0,0
AT-000357,232811,sms_otp,0.0601,0.1286,0,0,0,3.49,84.78,0,7,0,0,0
AT-002025,639758,email_link,0.4376,0.3004,1,0,1,15.67,398.62,0,18,0,0,0
AT-003362,890522,email_link,0.1146,0.2159,0,0,0,8.54,630.74,0,10,0,0,0
AT-001590,738479,email_link,0.1482,0.3494,0,0,1,6.13,63.62,0,12,0,0,0
AT-001438,615195,email_link,0.1873,0.0861,0,0,0,28.42,237.21,0,15,0,0,0
AT-003049,365542,email_link,0.5076,0.3072,0,0,0,2.25,79.82,0,17,0,0,0
AT-001481,151227,security_questions,0.0308,0.1138,0,0,0,9.6,199.82,1,13,0,0,0
AT-001078,548950,security_questions,0.3466,0.0879,0,0,0,3.82,683.41,1,8,0,0,0
AT-002651,686883,security_questions,0.0838,0.1706,0,0,0,33.29,664.94,1,11,0,0,0
AT-000679,760645,email_link,0.5559,0.0111,0,0,0,12.3,277.29,0,14,0,0,0
AT-001130,940367,sms_otp,0.0939,0.214,0,0,0,6.33,318.72,0,14,0,0,0
AT-002999,363997,email_link,0.1665,0.5229,0,1,0,2.41,213.43,0,13,0,0,0
AT-000499,596477,email_link,0.0501,0.3102,1,1,0,2.94,47.91,0,13,0,0,0
AT-001695,229534,security_questions,0.2517,0.3102,0,0,0,1.58,21.29,1,9,0,0,0
AT-003494,522575,security_questions,0.2157,0.0422,0,0,0,9.87,100.93,0,9,0,0,0
AT-003062,853836,email_link,0.4594,0.0653,0,0,0,18.32,268.85,0,10,0,0,0
AT-002117,980104,email_link,0.449,0.3663,1,0,0,3.79,139.96,0,15,0,0,0
AT-000895,415045,email_link,0.4202,0.7389,0,0,0,2.15,734.51,2,11,0,0,0
AT-003457,359304,sms_otp,0.0345,0.2674,0,0,0,2.03,115.74,0,6,0,0,0
AT-000889,106379,email_link,0.1848,0.0245,0,0,0,7.47,191.11,0,9,0,0,0
AT-001928,550591,email_link,0.4849,0.2579,0,0,0,3.35,99.04,0,7,0,0,0
AT-002106,620578,email_link,0.4428,0.1232,0,0,0,64.34,2212.0,0,6,0,0,0
AT-002244,634659,email_link,0.5535,0.169,0,0,0,1.13,44.64,1,19,0,0,0
AT-003415,451569,email_link,0.1264,0.2916,0,0,1,7.03,63.44,0,2,1,0,0
AT-000484,964710,email_link,0.1891,0.1444,0,0,0,151.62,113.32,0,9,0,0,0
AT-000279,752008,sms_otp,0.1931,0.1942,0,0,0,2.77,94.58,0,13,0,0,0
AT-001764,273921,email_link,0.1083,0.1948,0,0,0,1.1,132.1,0,14,0,0,0
AT-000819,691364,sms_otp,0.0868,0.1232,0,1,0,10.26,136.64,0,17,0,0,0
AT-001191,288913,email_link,0.5756,0.1345,0,0,0,1.07,62.92,0,19,0,0,0
AT-002311,520514,sms_otp,0.3509,0.5591,0,0,0,5.84,126.06,0,12,0,0,0
AT-003499,788177,security_questions,0.0447,0.0587,0,0,0,3.83,263.61,0,9,0,0,0
AT-000722,946189,security_questions,0.381,0.289,0,1,1,19.78,3.87,6,19,0,0,1
AT-001156,336754,sms_otp,0.8544,0.3121,0,1,0,10.63,1.93,1,9,0,0,1
AT-002172,970038,security_questions,0.1759,0.1935,0,0,0,24.92,169.7,0,22,0,0,0
AT-002594,997248,agent_assisted,0.0209,0.0675,0,0,0,1.43,789.1,0,20,0,0,0
AT-001280,869702,email_link,0.0746,0.4406,0,0,0,2.68,278.86,0,15,0,0,0
AT-000638,697198,security_questions,0.1161,0.0396,1,1,0,1.76,54.5,0,18,0,0,0
AT-002543,342532,email_link,0.1303,0.0344,0,1,0,4.18,21.56,0,8,0,0,0
AT-002750,631365,sms_otp,0.4928,0.6988,0,0,0,59.76,0.84,3,1,1,0,1
AT-002333,261628,sms_otp,0.2153,0.2057,0,0,0,3.02,578.18,0,7,0,0,0
AT-003016,724227,sms_otp,0.2615,0.0245,0,0,0,2.32,114.63,0,11,0,0,0
AT-002730,483824,agent_assisted,0.0095,0.0869,0,0,0,2.29,574.37,1,15,0,0,0
AT-000317,872449,security_questions,0.4195,0.6933,0,0,0,5.16,83.16,1,13,0,0,0
AT-000782,774144,email_link,0.5964,0.1363,0,0,0,10.67,623.02,0,5,1,0,0
AT-001337,479599,email_link,0.0735,0.0292,0,0,0,1.08,95.87,0,12,0,0,0
AT-000413,301116,email_link,0.1192,0.1983,0,0,0,3.88,141.38,0,20,0,0,0
AT-000310,946521,sms_otp,0.1982,0.1584,0,0,1,14.14,70.09,0,19,0,0,0
AT-001178,759489,email_link,0.0142,0.0219,0,0,0,92.46,313.77,0,13,0,0,0
AT-000591,818301,email_link,0.2696,0.1856,0,0,0,8.99,323.82,1,8,0,0,0
AT-000554,703236,sms_otp,0.117,0.1875,0,0,0,5.88,397.72,0,16,0,0,0
AT-002667,200423,sms_otp,0.4989,0.1722,0,0,0,5.58,158.06,0,7,0,0,0
AT-000808,476698,email_link,0.1947,0.3878,0,0,0,0.9,72.36,0,11,0,0,0
AT-002434,934467,sms_otp,0.1945,0.0886,0,0,0,2.89,94.99,0,10,0,0,0
AT-001148,558296,sms_otp,0.2399,0.1329,0,0,0,9.38,109.51,0,6,0,0,0
AT-000654,183436,security_questions,0.0427,0.1877,0,0,0,1.79,1051.15,0,13,0,0,0
AT-002355,814204,email_link,0.3171,0.0871,1,1,0,6.28,453.5,0,10,0,0,0
AT-003467,211422,sms_otp,0.1417,0.0666,0,0,0,15.55,41.7,0,11,0,0,0
AT-002985,515938,security_questions,0.8231,0.6156,0,1,1,74.65,24.13,2,3,1,0,1
AT-003309,946411,sms_otp,0.0959,0.0233,0,1,0,26.17,69.12,0,11,0,0,0
AT-000250,590554,agent_assisted,0.1148,0.1464,0,0,0,13.97,130.74,0,14,0,0,0
AT-002763,789224,email_link,0.1547,0.2563,0,0,0,10.97,616.93,0,16,0,0,0
AT-001516,620076,security_questions,0.2142,0.1565,0,0,0,6.0,107.8,0,11,0,0,0
AT-002980,853849,security_questions,0.0681,0.5391,0,0,0,5.44,443.58,1,7,0,0,0
AT-002762,350441,sms_otp,0.2298,0.1114,1,0,1,3.14,152.15,0,12,0,0,0
AT-002522,748261,sms_otp,0.0627,0.0707,0,0,0,11.67,121.92,2,12,0,0,0
AT-002550,811968,sms_otp,0.1032,0.2209,0,0,0,3.55,197.59,0,17,0,0,0
AT-000636,826896,security_questions,0.7246,0.5738,1,0,1,135.26,3.8,2,18,0,0,1
AT-003430,990307,security_questions,0.1877,0.0958,0,0,0,33.56,87.41,0,18,0,0,0
AT-001300,634698,email_link,0.0739,0.4488,0,0,0,22.41,69.99,1,0,1,0,0
AT-002067,507305,email_link,0.0916,0.2716,1,0,0,7.4,634.87,0,10,0,0,0
AT-000861,870851,email_link,0.1242,0.0332,0,0,0,0.83,39.82,1,10,0,0,0
AT-001131,322826,email_link,0.3755,0.1531,0,0,0,6.21,408.86,0,21,0,0,0
AT-003266,932045,email_link,0.2467,0.0511,0,0,0,15.06,118.04,0,15,0,0,0
AT-000280,972716,email_link,0.1798,0.215,0,0,0,3.22,80.18,1,1,1,0,0
AT-002074,823237,agent_assisted,0.1431,0.0868,0,0,0,9.47,105.26,0,18,0,0,0
AT-002666,916930,security_questions,0.1046,0.2909,0,0,0,0.9,160.17,0,8,0,0,0
AT-003085,706831,email_link,0.6339,0.0246,0,0,0,29.68,349.61,0,14,0,0,0
AT-000065,503028,email_link,0.3033,0.2527,0,0,0,1.22,1088.77,0,4,1,0,0
AT-003340,300817,email_link,0.1354,0.1742,0,0,0,1.88,366.12,0,19,0,0,0
AT-000138,858017,email_link,0.078,0.1319,0,0,0,5.43,345.71,0,8,0,0,0
AT-002732,212815,sms_otp,0.0514,0.2338,0,0,0,3.79,104.67,0,12,0,0,0
AT-000306,733762,security_questions,0.2406,0.5003,0,0,0,4.77,95.64,0,14,0,0,0
AT-003468,103768,security_questions,0.1404,0.2646,0,0,0,0.86,91.16,0,9,0,0,0
AT-002419,892775,agent_assisted,0.3014,0.7673,1,0,0,7.05,3.46,2,21,0,0,1
AT-001340,656504,agent_assisted,0.2844,0.0728,0,0,0,22.98,115.13,0,14,0,0,0
AT-000336,390972,sms_otp,0.2155,0.0138,0,0,0,30.99,114.93,1,10,0,0,0
AT-001405,369931,security_questions,0.0956,0.2883,0,0,0,2.17,15.79,0,10,0,0,0
AT-000920,190829,sms_otp,0.119,0.2373,0,1,0,4.71,77.21,0,15,0,0,0
AT-002453,246475,email_link,0.1088,0.2453,0,0,0,32.2,104.64,1,10,0,0,0
AT-000235,216676,email_link,0.2476,0.0762,0,0,0,6.79,241.08,1,18,0,0,0
AT-002940,641787,security_questions,0.7427,0.7692,0,1,0,1.97,1.98,4,18,0,0,1
AT-001120,316951,security_questions,0.0241,0.4053,0,0,0,5.2,240.15,0,17,0,0,0
AT-002756,530490,agent_assisted,0.031,0.5333,0,0,1,48.3,62.47,0,10,0,0,0
AT-000372,697515,email_link,0.1956,0.2059,0,0,0,33.99,131.86,0,13,0,0,0
AT-003164,121882,email_link,0.1616,0.0809,0,0,0,0.43,242.19,0,0,1,0,0
AT-000958,742229,email_link,0.1512,0.0406,0,0,0,4.91,43.16,0,20,0,0,0
AT-001394,538150,agent_assisted,0.7258,0.5431,0,1,0,42.34,10.47,3,22,0,0,1
AT-001998,726124,email_link,0.1712,0.2253,0,0,0,3.2,326.91,0,17,0,0,0
AT-000380,437606,email_link,0.5218,0.3723,0,0,0,5.28,90.71,0,2,1,0,0
AT-000060,600925,email_link,0.2194,0.1259,0,1,0,2.22,194.36,0,10,0,0,0
AT-003021,220618,email_link,0.264,0.0293,1,0,0,2.54,121.59,0,11,0,0,0
AT-001470,478833,security_questions,0.0247,0.181,0,0,0,0.7,325.37,0,4,1,0,0
AT-003064,330642,sms_otp,0.1486,0.0271,0,0,1,18.62,234.93,0,11,0,0,0
AT-001996,661330,security_questions,0.1802,0.2522,0,1,0,6.77,282.69,0,10,0,0,0
AT-000397,284016,sms_otp,0.5508,0.1047,0,0,0,2.59,119.73,0,16,0,0,0
AT-001458,486712,sms_otp,0.8391,0.5828,0,0,0,2.79,54.76,0,11,0,0,0
AT-002024,396890,agent_assisted,0.3206,0.387,0,0,1,11.48,1007.89,0,12,0,0,0
AT-002902,392045,sms_otp,0.3029,0.2828,0,1,0,17.25,462.75,0,13,0,0,0
AT-001954,552436,security_questions,0.2552,0.2016,0,0,0,2.43,28.63,0,21,0,0,0
AT-000383,491145,sms_otp,0.1031,0.5297,0,0,0,3.82,67.19,0,12,0,0,0
AT-001612,271245,email_link,0.341,0.1208,1,0,0,3.37,63.46,0,8,0,0,0
AT-001851,476986,sms_otp,0.2329,0.22,0,0,0,3.83,142.58,0,10,0,0,0
AT-001770,501390,sms_otp,0.319,0.0047,1,0,0,7.58,425.56,0,11,0,0,0
AT-001291,450047,email_link,0.2877,0.2755,0,1,0,11.59,41.68,0,14,0,0,0
AT-002886,402026,email_link,0.5166,0.4064,1,0,0,14.5,32.73,0,8,0,0,0
AT-001879,398082,email_link,0.2859,0.048,0,0,0,11.87,314.43,1,21,0,0,0
AT-001636,921282,email_link,0.3025,0.0179,0,0,1,4.06,109.98,0,8,0,0,0
AT-002096,275799,sms_otp,0.0683,0.1588,0,0,1,20.61,316.59,1,3,1,0,0
AT-000322,147471,email_link,0.2858,0.0249,0,1,0,31.34,132.86,0,5,1,0,0
AT-001399,301797,security_questions,0.7903,0.2936,0,0,0,12.35,423.43,0,14,0,0,0
AT-002246,965450,security_questions,0.0593,0.2519,0,0,1,1.92,280.37,0,20,0,0,0
AT-002036,416457,security_questions,0.1444,0.0905,0,0,0,5.86,224.91,0,11,0,0,0
AT-001828,219066,email_link,0.0094,0.2568,0,0,0,4.89,57.26,0,7,0,0,0
AT-002671,174976,security_questions,0.0327,0.1811,1,0,0,4.64,38.07,1,18,0,0,0
AT-002214,855323,security_questions,0.0352,0.0825,0,0,0,1.66,980.52,0,6,0,0,0
AT-001653,977288,sms_otp,0.1685,0.0313,0,0,0,1.64,43.32,0,10,0,0,0
AT-002410,474576,security_questions,0.6637,0.8758,0,0,0,7.82,182.16,0,10,0,0,0
AT-002437,772539,email_link,0.04,0.3926,0,0,0,5.47,34.58,0,6,0,0,0
AT-002165,488367,email_link,0.508,0.1062,0,1,0,3.53,126.81,0,14,0,0,0
AT-002379,175301,sms_otp,0.0881,0.0264,1,1,0,1.54,455.14,0,1,1,0,0
AT-002417,134109,sms_otp,0.3715,0.2681,0,0,0,6.73,142.69,0,2,1,0,0
AT-000555,769552,security_questions,0.6473,0.5981,0,1,1,6.84,2.96,0,4,1,1,1
AT-001712,450069,email_link,0.1613,0.0129,0,0,0,9.1,108.72,0,11,0,0,0
AT-002978,176119,security_questions,0.1246,0.2316,0,0,0,7.59,52.17,2,13,0,0,0
AT-003069,372869,sms_otp,0.3181,0.1813,0,0,0,7.04,247.36,0,21,0,0,0
AT-002890,414255,email_link,0.3422,0.1443,0,0,0,4.99,99.89,0,7,0,0,0
AT-000224,282436,email_link,0.4752,0.0273,0,1,0,14.0,27.12,0,12,0,0,0
AT-000125,148409,email_link,0.718,0.7719,0,0,0,4.66,2.8,1,20,0,0,1
AT-000908,770722,sms_otp,0.0348,0.7471,0,0,0,219.01,573.94,0,6,0,0,0
AT-000020,549808,email_link,0.231,0.0391,1,0,0,4.03,165.02,1,6,0,0,0
